,Candidate,Party,Votes,Constituency
0,GULAB KAMRO,Indian National Congress,51732,Chhattisgarh - Bharatpur-sonhat
1,CHAMPADEVI PAWLE,Bharatiya Janata Party,35199,Chhattisgarh - Bharatpur-sonhat
2,SHYAM SINGH MARKAM,Gondvana Gantantra Party,26632,Chhattisgarh - Bharatpur-sonhat
3,KRISHANA PRASAD CHERVA,Bahujan Samaj Party,9689,Chhattisgarh - Bharatpur-sonhat
4,SUKHMANTI BAI,Aam Aadmi Party,2205,Chhattisgarh - Bharatpur-sonhat
5,SHARAN SINGH,Independent,1486,Chhattisgarh - Bharatpur-sonhat
6,KRISHNA KANT NAGVANSHI,Chhattisgarh Vikas Ganga Rashtriya Party,1409,Chhattisgarh - Bharatpur-sonhat
7,MADANLAL,Bhartiya Panchyat Party,837,Chhattisgarh - Bharatpur-sonhat
8,POOJA SINGH POYA,Pichhara Samaj Party United,626,Chhattisgarh - Bharatpur-sonhat
9,None of the Above,None of the Above,3360,Chhattisgarh - Bharatpur-sonhat
10,DR. VINAY JAISWAL,Indian National Congress,35819,Chhattisgarh - Manendragarh
11,SHYAM BIHARI JAISWAL,Bharatiya Janata Party,31745,Chhattisgarh - Manendragarh
12,LAKHAN LAL SHRIVASTAVA (PANI WALE BABA),Janta Congress Chhattisgarh (J),12907,Chhattisgarh - Manendragarh
13,ADITYA RAJ DAVID,Gondvana Gantantra Party,11564,Chhattisgarh - Manendragarh
14,SATISH KUMAR SINGH,Aam Aadmi Party,1004,Chhattisgarh - Manendragarh
15,DEEPAK KUMAR,Independent,805,Chhattisgarh - Manendragarh
16,DIGAMBER SINGH,Independent,766,Chhattisgarh - Manendragarh
17,JALJEET SINGH POYA,Rashtriya Gondvana Party,526,Chhattisgarh - Manendragarh
18,DR. FLORENCE NIGHTINGLE SAGAR (DR. LAKRA MADAM),Janata Dal  (United),374,Chhattisgarh - Manendragarh
19,PARATAP SINGH,Bhartiya Panchyat Party,266,Chhattisgarh - Manendragarh
20,None of the Above,None of the Above,2112,Chhattisgarh - Manendragarh
21,AMBICA SINGH DEO,Indian National Congress,48885,Chhattisgarh - Baikunthpur
22,BHAIYALAL RAJWADE,Bharatiya Janata Party,43546,Chhattisgarh - Baikunthpur
23,ENGR.SANJAY SINGH KAMRO,Gondvana Gantantra Party,20247,Chhattisgarh - Baikunthpur
24,BIHARI LAL RAJWADE,Janta Congress Chhattisgarh (J),9236,Chhattisgarh - Baikunthpur
25,SUNIL SINGH,Aam Aadmi Party,1504,Chhattisgarh - Baikunthpur
26,RAM NARAYAN SAHU,Independent,1171,Chhattisgarh - Baikunthpur
27,CHINTAMANI SANDILYA,Independent,710,Chhattisgarh - Baikunthpur
28,GOPAL SINGH,Independent,615,Chhattisgarh - Baikunthpur
29,RAM PRATAP SAHU,Bhartiya Panchyat Party,579,Chhattisgarh - Baikunthpur
30,LAV SINGH UDAY,Rashtriya Gondvana Party,426,Chhattisgarh - Baikunthpur
31,None of the Above,None of the Above,2630,Chhattisgarh - Baikunthpur
32,KHEL SAI SINGH,Indian National Congress,66475,Chhattisgarh - Premnagar
33,VIJAY PRATAP SINGH,Bharatiya Janata Party,51135,Chhattisgarh - Premnagar
34,JAINATH SINGH KERAM,Gondvana Gantantra Party,26388,Chhattisgarh - Premnagar
35,PANKAJ TIWARI,Janta Congress Chhattisgarh (J),11842,Chhattisgarh - Premnagar
36,ANJAY JAIN,Aam Aadmi Party,2178,Chhattisgarh - Premnagar
37,SURAJLAL RAVI,Independent,2091,Chhattisgarh - Premnagar
38,ALOK KUMAR SAHU,Independent,1797,Chhattisgarh - Premnagar
39,SEEMA SINGH TEKAM,Independent,1250,Chhattisgarh - Premnagar
40,DEV KUMARI SINGH SANDILYA,Independent,1130,Chhattisgarh - Premnagar
41,VIDYA BAI BAGHEL,Independent,1063,Chhattisgarh - Premnagar
42,KRISHNA KUMAR DEVANGAN,Independent,801,Chhattisgarh - Premnagar
43,KHEMRAJ SINGH,Bhartiya Panchyat Party,717,Chhattisgarh - Premnagar
44,MALTI BIHARI RAJWADE,Janata Dal  (United),608,Chhattisgarh - Premnagar
45,None of the Above,None of the Above,4058,Chhattisgarh - Premnagar
46,PARAS NATH RAJWADE,Indian National Congress,74623,Chhattisgarh - Bhatgaon
