,Candidate,Party,Votes,Constituency
0,BABU JANDEL,Indian National Congress,98580,Madhya Pradesh - SHEOPUR 
1,DURGA LAL VIJAY (VAKIL),Bharatiya Janata Party,56870,Madhya Pradesh - SHEOPUR 
2,TULSINARAYAN MEENA,Bahujan Samaj Party,14444,Madhya Pradesh - SHEOPUR 
3,AD. KULDEEP SINGH,Aam Aadmi Party,2142,Madhya Pradesh - SHEOPUR 
4,DIPTEE SAYYAD ZFAR ALI,Independent,1062,Madhya Pradesh - SHEOPUR 
5,MUKESH SUMAN,Bahujan Mukti Party,937,Madhya Pradesh - SHEOPUR 
6,HRVILASH ADIVASI,Independent,878,Madhya Pradesh - SHEOPUR 
7,TEJPAL ADIWASI,Jai Prakash Janata Dal,594,Madhya Pradesh - SHEOPUR 
8,MURLIDHAR PRAJAPATI,Rashtriya Krantikari Samajwadi Party,525,Madhya Pradesh - SHEOPUR 
9,RAVINDRA KUMAR,Inqalab Vikas Dal,466,Madhya Pradesh - SHEOPUR 
10,BHURE SINGH MALEE,Jan Adhikar Party,398,Madhya Pradesh - SHEOPUR 
11,None of the Above,None of the Above,1794,Madhya Pradesh - SHEOPUR 
12,BABU JANDEL,Indian National Congress,98580,Madhya Pradesh - SHEOPUR 
13,DURGA LAL VIJAY (VAKIL),Bharatiya Janata Party,56870,Madhya Pradesh - SHEOPUR 
14,TULSINARAYAN MEENA,Bahujan Samaj Party,14444,Madhya Pradesh - SHEOPUR 
15,AD. KULDEEP SINGH,Aam Aadmi Party,2142,Madhya Pradesh - SHEOPUR 
16,DIPTEE SAYYAD ZFAR ALI,Independent,1062,Madhya Pradesh - SHEOPUR 
17,MUKESH SUMAN,Bahujan Mukti Party,937,Madhya Pradesh - SHEOPUR 
18,HRVILASH ADIVASI,Independent,878,Madhya Pradesh - SHEOPUR 
19,TEJPAL ADIWASI,Jai Prakash Janata Dal,594,Madhya Pradesh - SHEOPUR 
20,MURLIDHAR PRAJAPATI,Rashtriya Krantikari Samajwadi Party,525,Madhya Pradesh - SHEOPUR 
21,RAVINDRA KUMAR,Inqalab Vikas Dal,466,Madhya Pradesh - SHEOPUR 
22,BHURE SINGH MALEE,Jan Adhikar Party,398,Madhya Pradesh - SHEOPUR 
23,None of the Above,None of the Above,1794,Madhya Pradesh - SHEOPUR 
24,SEETARAM,Bharatiya Janata Party,63331,Madhya Pradesh - VIJAYPUR 
25,RAMNIWAS RAWAT,Indian National Congress,60491,Madhya Pradesh - VIJAYPUR 
26,BABULAL MEBRA,Bahujan Samaj Party,35628,Madhya Pradesh - VIJAYPUR 
27,PANNALAL SOLANKI [RTD COLLECTOR],Independent,2615,Madhya Pradesh - VIJAYPUR 
28,MUKESH MALHOTRA,Independent,2423,Madhya Pradesh - VIJAYPUR 
29,ARVIND DHAKAR,Bahujan Mukti Party,1360,Madhya Pradesh - VIJAYPUR 
30,RAMSINGH DHAKAD URF PAPPU BABA,Independent,1180,Madhya Pradesh - VIJAYPUR 
31,RAMCHARAN MALI (BAKIL),Independent,979,Madhya Pradesh - VIJAYPUR 
32,DURJAN LAL RAY,Independent,802,Madhya Pradesh - VIJAYPUR 
33,KAMLESH,Independent,719,Madhya Pradesh - VIJAYPUR 
34,MURARI SAHARIYA,Independent,543,Madhya Pradesh - VIJAYPUR 
35,ASHUTOSH CHATURVEDI (BABLU),Aam Aadmi Party,474,Madhya Pradesh - VIJAYPUR 
36,AMRAT SINGH SIKARWAR,Independent,397,Madhya Pradesh - VIJAYPUR 
