,Candidate,Party,Votes,Constituency
0,LALRINDIKA RALTE,Indian National Congress,6202,Mizoram - Hachhek
1,LALRINENGA SAILO,Mizo National Front,5836,Mizoram - Hachhek
2,VANLALRUATA PACHUAU,Bharatiya Janata Party,4399,Mizoram - Hachhek
3,H LALLIANZUALA,Independent,1373,Mizoram - Hachhek
4,EDDY ZOSANGLIANA COLNEY,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,250,Mizoram - Hachhek
5,LALZENGHAKI,Independent,133,Mizoram - Hachhek
6,J. LALSAILOVA,Independent,91,Mizoram - Hachhek
7,C RAMKINLOVA,Nationalist Congress Party,78,Mizoram - Hachhek
8,None of the Above,None of the Above,250,Mizoram - Hachhek
9,LALRINTLUANGA SAILO,Mizo National Front,5840,Mizoram - Dampa
10,LALROBIAKA,Indian National Congress,4183,Mizoram - Dampa
11,ER. K. LALRIMAWIA,Bharatiya Janata Party,3051,Mizoram - Dampa
12,F LALRINTLUANGI,Independent,1920,Mizoram - Dampa
13,LALRINZUALA CHAWNGTHU,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,133,Mizoram - Dampa
14,LIANZUALA,National People's Party,106,Mizoram - Dampa
15,LALCHUHVELA,Independent,33,Mizoram - Dampa
16,LALAWMPUIA CHHANGTE,Nationalist Congress Party,28,Mizoram - Dampa
17,None of the Above,None of the Above,77,Mizoram - Dampa
18,H. LALZIRLIANA,Mizo National Front,6874,Mizoram - Mamit
19,JOHN ROTLUANGLIANA,Indian National Congress,6467,Mizoram - Mamit
20,MALSAWMTLUANGA,Bharatiya Janata Party,4528,Mizoram - Mamit
21,C.ZOTHANSANGA,Independent,1122,Mizoram - Mamit
22,LIANZUALA,National People's Party,90,Mizoram - Mamit
23,LALAWMPUIA CHHANGTE,Nationalist Congress Party,80,Mizoram - Mamit
24,B.LALHMUNZAWNGA,Independent,75,Mizoram - Mamit
25,None of the Above,None of the Above,190,Mizoram - Mamit
26,ANDREW H. THANGLIANA,Independent,4387,Mizoram - Tuirial
27,SAILOTHANGA SAILO,Mizo National Front,4183,Mizoram - Tuirial
28,JOSEPH L. RALTE,Indian National Congress,3748,Mizoram - Tuirial
29,HMINGDAILOVA KHIANGTE,National People's Party,1209,Mizoram - Tuirial
30,JACOB T. VANLAWMA,Bharatiya Janata Party,487,Mizoram - Tuirial
31,B. VANLALHRUAIA,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,104,Mizoram - Tuirial
32,V. LALENNAWMA,Independent,66,Mizoram - Tuirial
33,None of the Above,None of the Above,61,Mizoram - Tuirial
34,K. LALRINLIANA,Mizo National Front,5940,Mizoram - Kolasib
35,LALFAMKIMA,Independent,5661,Mizoram - Kolasib
36,DR. NGURDINGLIANA,Indian National Congress,5232,Mizoram - Kolasib
37,B. LIANTHLIRA,Bharatiya Janata Party,504,Mizoram - Kolasib
38,JOHN LALREMRUATA,National People's Party,288,Mizoram - Kolasib
39,ZODINSANGA,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,80,Mizoram - Kolasib
40,None of the Above,None of the Above,106,Mizoram - Kolasib
41,LALRINSANGA RALTE,Mizo National Front,6128,Mizoram - Serlui
42,LALHMACHHUANA,Indian National Congress,5201,Mizoram - Serlui
43,LALMUANPUIA PUNTE,Independent,1995,Mizoram - Serlui
44,VANLALHMUAKA,Bharatiya Janata Party,1959,Mizoram - Serlui
45,HMINGCHUNGNUNGA,National People's Party,638,Mizoram - Serlui
46,None of the Above,None of the Above,134,Mizoram - Serlui
47,LALCHHANDAMA RALTE,Mizo National Front,5207,Mizoram - Tuivawl
48,R. L. PIANMAWIA,Indian National Congress,5204,Mizoram - Tuivawl
49,JUDY ZOHMINGLIANI,Bharatiya Janata Party,1607,Mizoram - Tuivawl
50,K. ROMAWIA,Independent,1083,Mizoram - Tuivawl
51,H. K. HLIMPAWLTHANGA,Independent,58,Mizoram - Tuivawl
52,None of the Above,None of the Above,52,Mizoram - Tuivawl
53,LALRINLIANA SAILO,Mizo National Front,5541,Mizoram - Chalfilh
54,F. RUALHLEIA,Independent,4534,Mizoram - Chalfilh
55,L. T. HRANGCHAL,Indian National Congress,4144,Mizoram - Chalfilh
56,P. SANGHMINGTHANGA,Bharatiya Janata Party,678,Mizoram - Chalfilh
57,None of the Above,None of the Above,81,Mizoram - Chalfilh
58,R.LALZIRLIANA,Mizo National Front,4940,Mizoram - Tawi
59,R. LALTHATLUANGA,Independent,4756,Mizoram - Tawi
60,ROSIAMNGHETA,Indian National Congress,2630,Mizoram - Tawi
61,PROF.J.V.HLUNA,Bharatiya Janata Party,714,Mizoram - Tawi
62,H.LALREMSIAMA,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,97,Mizoram - Tawi
63,LALZENGHAKI,Independent,49,Mizoram - Tawi
64,None of the Above,None of the Above,39,Mizoram - Tawi
65,VANLALHLANA,Independent,7094,Mizoram - Aizawl  North - i
66,LALRINGLIANA,Mizo National Front,5929,Mizoram - Aizawl  North - i
67,C.LALHLIMPUIA,Indian National Congress,3595,Mizoram - Aizawl  North - i
68,LALRUATFELI HLAWNDO,Independent,700,Mizoram - Aizawl  North - i
69,DAVID LALFAKZUALA,Bharatiya Janata Party,225,Mizoram - Aizawl  North - i
70,VANLALRUATA,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,77,Mizoram - Aizawl  North - i
71,None of the Above,None of the Above,74,Mizoram - Aizawl  North - i
72,VANLALTHLANA,Independent,7775,Mizoram - Aizawl North - ii
73,LALTLANZOVA KHIANGTE,Mizo National Front,5974,Mizoram - Aizawl North - ii
74,H. LIANSAILOVA,Indian National Congress,4106,Mizoram - Aizawl North - ii
75,LALHRILZELI HLAWNDO,Independent,98,Mizoram - Aizawl North - ii
76,C. LALNUNZIRI,Bharatiya Janata Party,69,Mizoram - Aizawl North - ii
77,ROCHUNGNUNGA,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,39,Mizoram - Aizawl North - ii
78,None of the Above,None of the Above,51,Mizoram - Aizawl North - ii
79,C LALMUANPUIA,Mizo National Front,5166,Mizoram - Aizawl North-iii
80,LAL THANZARA,Indian National Congress,4732,Mizoram - Aizawl North-iii
