,Candidate,Party,Votes,Constituency
0,JAGDISH CHANDER,Indian National Congress,73153,Rajasthan - Sadulshahar
1,GURVEER SINGH BRAR,Bharatiya Janata Party,63477,Rajasthan - Sadulshahar
2,OM BISHNOI,Independent,36767,Rajasthan - Sadulshahar
3,PALA RAM,Communist Party of India  (Marxist),2602,Rajasthan - Sadulshahar
4,AVTAR SINGH,Communist Party of India,1764,Rajasthan - Sadulshahar
5,BALWANT NIMIWAL,Abhinav Rajasthan Party,1744,Rajasthan - Sadulshahar
6,VINOD KHICHAR,Bahujan Samaj Party,1097,Rajasthan - Sadulshahar
7,ANKIT BHAMBHU,Aam Aadmi Party,1072,Rajasthan - Sadulshahar
8,MAJOR SINGH,Independent,783,Rajasthan - Sadulshahar
9,NIRANJAN SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),347,Rajasthan - Sadulshahar
10,KRISHAN GOSWAMI,Republican Party of India (A),309,Rajasthan - Sadulshahar
11,None of the Above,None of the Above,1641,Rajasthan - Sadulshahar
12,RAJ KUMAR GAUR,Independent,44998,Rajasthan - Ganganagar
13,ASHOK CHANDAK,Indian National Congress,35818,Rajasthan - Ganganagar
14,VINITA AHUJA,Bharatiya Janata Party,29686,Rajasthan - Ganganagar
15,JAIDEEP BIHANI,Independent,29206,Rajasthan - Ganganagar
16,PRAHALAD RAI TAK,Bahujan Samaj Party,14834,Rajasthan - Ganganagar
17,KAMINI JINDAL,National Unionist Zamindara Party,4887,Rajasthan - Ganganagar
18,RADHESHYAM GANGANAGAR,Independent,2318,Rajasthan - Ganganagar
19,DHIR SINGH,Independent,994,Rajasthan - Ganganagar
20,NAND KISHORE BIHANI,Independent,981,Rajasthan - Ganganagar
21,KRISHAN KUMAR,Independent,848,Rajasthan - Ganganagar
22,AMIT KARGWAL,Aam Aadmi Party,836,Rajasthan - Ganganagar
23,PREET KALRA,Independent,457,Rajasthan - Ganganagar
24,RAHUL MAHASHAYA,Lok Jan Shakti Party,419,Rajasthan - Ganganagar
25,RAJESH BHART,Independent,387,Rajasthan - Ganganagar
26,AMIT KHARIWAL,Independent,293,Rajasthan - Ganganagar
27,JASWANT SINGH,Maharana Kranti Party,281,Rajasthan - Ganganagar
28,ASHOK KUMAR,Independent,275,Rajasthan - Ganganagar
29,KARISHMA,Dalit Kranti Dal,233,Rajasthan - Ganganagar
30,DAYA RAM,Bharat Lok Sewak Party,219,Rajasthan - Ganganagar
31,SHYAM SUNDER,Independent,177,Rajasthan - Ganganagar
32,JAKIR HUSAIN,Jantawadi Congress Party,174,Rajasthan - Ganganagar
33,MANJEET SINGH,Abhinav Rajasthan Party,162,Rajasthan - Ganganagar
34,None of the Above,None of the Above,1170,Rajasthan - Ganganagar
35,GURMEET SINGH KOONER,Indian National Congress,73896,Rajasthan - Karanpur
36,PRITHIPAL SINGH,Independent,45520,Rajasthan - Karanpur
37,SURENDERPAL SINGH,Bharatiya Janata Party,44099,Rajasthan - Karanpur
38,MAHENDER KUMAR RASSEWAT,Independent,15782,Rajasthan - Karanpur
39,RANJEET,Bahujan Samaj Party,1474,Rajasthan - Karanpur
40,MAMTA,Independent,1370,Rajasthan - Karanpur
41,SUKHRAM,Independent,1260,Rajasthan - Karanpur
42,HARIRAM RAMGARIA,Independent,1233,Rajasthan - Karanpur
43,PRAHLAD RAI,Aam Aadmi Party,900,Rajasthan - Karanpur
44,TITAR SINGH,Independent,653,Rajasthan - Karanpur
45,SHIV LAL,Independent,523,Rajasthan - Karanpur
46,JAIPARKASH,Independent,487,Rajasthan - Karanpur
47,PRITHVI RAJ,Independent,422,Rajasthan - Karanpur
48,CHUKI DEVI,Independent,298,Rajasthan - Karanpur
49,RAISAHAB,Republican Party of India (A),249,Rajasthan - Karanpur
50,SUNIL KUMAR MEGHWAL,Bharatiya Republican Paksha,131,Rajasthan - Karanpur
51,None of the Above,None of the Above,1300,Rajasthan - Karanpur
52,RAMPRATAP KASNIYAN,Bharatiya Janata Party,69032,Rajasthan - Suratgarh
53,HANUMAN MEEL,Indian National Congress,58797,Rajasthan - Suratgarh
54,DUNGAR RAM GEDAR,Bahujan Samaj Party,55543,Rajasthan - Suratgarh
55,OM RAJPUROHIT,Independent,1346,Rajasthan - Suratgarh
56,SHRAWAN RAM,Independent,822,Rajasthan - Suratgarh
57,SATYA PAL MEGHWAL,Independent,779,Rajasthan - Suratgarh
58,SATYA PRAKASH,Aam Aadmi Party,747,Rajasthan - Suratgarh
59,NAND KISHOR,All India Hindustan Congress Party,697,Rajasthan - Suratgarh
60,KRISHAN KUMAR,Bharatiya Yuva Shakti,544,Rajasthan - Suratgarh
61,MAHAVIR PRASAD PAREEK URF TIWARI,Independent,289,Rajasthan - Suratgarh
62,PITAMBER DUTT SHARMA,Independent,277,Rajasthan - Suratgarh
63,GOPIRAM,Maharana Kranti Party,233,Rajasthan - Suratgarh
64,PAWAN KUMAR MISHAR (P K MISHAR),Independent,192,Rajasthan - Suratgarh
65,BHAWANI SHANKAR,Independent,171,Rajasthan - Suratgarh
66,DHARAM PAL,Independent,137,Rajasthan - Suratgarh
67,None of the Above,None of the Above,1591,Rajasthan - Suratgarh
68,BALVEER SINGH LUTHRA,Bharatiya Janata Party,76935,Rajasthan - Raisingh Nagar
69,SHYOPAT RAM,Communist Party of India  (Marxist),43264,Rajasthan - Raisingh Nagar
70,SOHAN LAL NAYAK,Independent,38234,Rajasthan - Raisingh Nagar
71,SONA DEVI,Indian National Congress,31294,Rajasthan - Raisingh Nagar
72,SUCHCHA SINGH,Aam Aadmi Party,3541,Rajasthan - Raisingh Nagar
73,KUMBHARAM,Bahujan Samaj Party,1357,Rajasthan - Raisingh Nagar
