,Candidate,Party,Votes,Constituency
0,KONERU KONAPPA,Telangana Rashtra Samithi,83088,Telangana - Sirpur
1,DR. PALVAI HARISH BABU,Indian National Congress,59052,Telangana - Sirpur
2,DR.KOTTAPELLI SRINIVAS,Bharatiya Janata Party,6279,Telangana - Sirpur
3,RRAAVI SRINWASS,Bahujan Samaj Party,5379,Telangana - Sirpur
4,TALLAPALLI THIRUPATHI,Independent,4039,Telangana - Sirpur
5,DASARI VENKATESH,Independent,1079,Telangana - Sirpur
6,CHILAKAMMA EDLA,Pyramid Party of India,1013,Telangana - Sirpur
7,KUDAKA KISHORE,Ambedkarite Party of India,733,Telangana - Sirpur
8,GANTA PENTANNA,Independent,595,Telangana - Sirpur
9,JADI DILEEP,Bahujan Mukti Party,512,Telangana - Sirpur
10,KOTA VENKANNA,Bahujana Left Party,511,Telangana - Sirpur
11,RAMCHANDER,Peoples Republican Party,429,Telangana - Sirpur
12,None of the Above,None of the Above,1579,Telangana - Sirpur
13,BALKA SUMAN,Telangana Rashtra Samithi,71980,Telangana - Chennur 
14,VENKATESH NETHA BORLAKUNTA,Indian National Congress,43848,Telangana - Chennur 
15,SOGALA SANJEEV,Republican Party of India (Khobragade),6274,Telangana - Chennur 
16,ANDUGULA SRINIVAS,Bharatiya Janata Party,2026,Telangana - Chennur 
17,DAMUKA SURESH BABU,Independent,1492,Telangana - Chennur 
18,BOJJA RAMANA KUMARI,Pyramid Party of India,1335,Telangana - Chennur 
19,SUJATHA SUREPALLY,Bahujan Samaj Party,1200,Telangana - Chennur 
20,RAKESH REGUNTA,Nava Praja Rajyam Party,1035,Telangana - Chennur 
21,BODA JANARDHAN,Bahujana Left Party,983,Telangana - Chennur 
22,CHEEPELLI KIRAN,Independent,937,Telangana - Chennur 
23,THUNGAPINDI RAMESH,Republican Party of India (A),830,Telangana - Chennur 
24,BOJJA DASARATHAM,Independent,589,Telangana - Chennur 
25,NEELAM SURENDER,Nationalist Congress Party,516,Telangana - Chennur 
26,RAMAGIRI VIKRAM SINGH,New India Party,484,Telangana - Chennur 
27,None of the Above,None of the Above,2135,Telangana - Chennur 
28,DURGAM CHINNAIAH,Telangana Rashtra Samithi,55026,Telangana - Bellampalli
29,GADDAM VINOD,Bahujan Samaj Party,43750,Telangana - Bellampalli
30,KONDAGURLA VEDA PRAKASH,Independent,10684,Telangana - Bellampalli
31,GUNDA MALLESH,Communist Party of India,3905,Telangana - Bellampalli
32,KOYYALA EMAJI,Bharatiya Janata Party,3031,Telangana - Bellampalli
33,KRISHNA SABBANI,Bahujana Left Party,1812,Telangana - Bellampalli
34,DAGAM VISHWANATH,Independent,1801,Telangana - Bellampalli
35,DURGE MAHENDAR,Nava Praja Rajyam Party,1202,Telangana - Bellampalli
36,SAKINALA NARAYANA,Independent,1120,Telangana - Bellampalli
37,PAGIDI VENKATI,Independent,721,Telangana - Bellampalli
38,AMBALA MAHENDAR,Independent,706,Telangana - Bellampalli
39,MITTAPALLI KUMARA SWAMY,New India Party,695,Telangana - Bellampalli
40,PAGIDI RAJENDER,Aam Aadmi Party,450,Telangana - Bellampalli
41,None of the Above,None of the Above,2598,Telangana - Bellampalli
42,NADIPELLI DIWAKAR RAO,Telangana Rashtra Samithi,75360,Telangana - Mancherial
43,KOKKIRALA PREMSAGAR RAO,Indian National Congress,70512,Telangana - Mancherial
44,RAGHUNATH VERABELLI,Bharatiya Janata Party,5018,Telangana - Mancherial
45,ARE SRINIVAS,Bahujana Left Party,2190,Telangana - Mancherial
46,BERA SATHYANARAYANA,Bahujan Samaj Party,2174,Telangana - Mancherial
47,NAHEEMPASHA,Independent,2123,Telangana - Mancherial
48,CHALLAGULLA VIJAYASREE,Independent,1672,Telangana - Mancherial
49,DOMMATI RAVI KUMAR,Independent,1638,Telangana - Mancherial
50,CHEERLA SATYAM,Independent,1065,Telangana - Mancherial
51,PAYYAVULA LAXMINARAYANA,Independent,717,Telangana - Mancherial
52,AGGI BHEEMAIAH,Pyramid Party of India,560,Telangana - Mancherial
53,RANGU MALLESHAM,Independent,468,Telangana - Mancherial
54,AJMEERA LAL,Independent,343,Telangana - Mancherial
55,RASAMALLA KUMAR,Independent,250,Telangana - Mancherial
56,ALPULA BHARATHI,India Praja Bandhu Party,241,Telangana - Mancherial
57,KUAKATLA THIRUPATHI YADAV,Shiv Sena,229,Telangana - Mancherial
58,SYED AFRATH AHMED,Aam Aadmi Party,201,Telangana - Mancherial
59,KAMERA KRANTHI KUMAR,Republican Party of India (Khobragade),158,Telangana - Mancherial
60,TOGARI BANESH,New India Party,149,Telangana - Mancherial
61,MEDI NARSAIAH,Telangana Pragati Samithi,141,Telangana - Mancherial
62,MENGANI VENKATASWAMY,Independent,121,Telangana - Mancherial
63,None of the Above,None of the Above,1394,Telangana - Mancherial
64,ATHRAM SAKKU,Indian National Congress,65788,Telangana - Asifabad 
65,KOVA LAXMI,Telangana Rashtra Samithi,65617,Telangana - Asifabad 
66,AZMERA ATHMA RAO,Bharatiya Janata Party,6711,Telangana - Asifabad 
67,KOTNAKA VIJAY KUMAR,Telangana Jana Samithi,6183,Telangana - Asifabad 
68,AJMERA RAMNAIK,Bahujan Samaj Party,3629,Telangana - Asifabad 
69,ADE BALAJI,BhartiyaBahujanKranti Dal,3039,Telangana - Asifabad 
70,MUKADE VISHNU,Ambedkarite Party of India,2972,Telangana - Asifabad 
71,KURSENGA VASANTH RAO,Nava Praja Rajyam Party,1721,Telangana - Asifabad 
72,BANOVATH JAGAN,Bahujana Raajyam Party (Phule Ambedkar),1240,Telangana - Asifabad 
73,BHUKYA INDAL RAO,Independent,1175,Telangana - Asifabad 
74,None of the Above,None of the Above,2715,Telangana - Asifabad 
75,AJMERA REKHA,Telangana Rashtra Samithi,67138,Telangana - Khanapur 
76,RAMESH RATHOD,Indian National Congress,46428,Telangana - Khanapur 
77,ASHOK SATLA,Bharatiya Janata Party,23779,Telangana - Khanapur 
78,AJMEERA HARI NAIK,Bahujan Samaj Party,3553,Telangana - Khanapur 
79,THATRA BHEEMRAO,Telangana Jana Samithi,2412,Telangana - Khanapur 
80,NETHAWATH RAJENDAR,Independent,1436,Telangana - Khanapur 
81,ATHRAM BHEEM RAO,Peoples Republican Party,1251,Telangana - Khanapur 
82,THODASAM BHEEM RAO,Communist Party of India  (Marxist),863,Telangana - Khanapur 
83,PENDUR PRABHAKAR,Independent,841,Telangana - Khanapur 
84,KURSENGA ANITHA,Nava Praja Rajyam Party,685,Telangana - Khanapur 
85,TODASAM NAGORAO,Prem Janata Dal,548,Telangana - Khanapur 
86,LAVUDYA SUDHAN LAL,Telangana Prajala Party,446,Telangana - Khanapur 
87,None of the Above,None of the Above,2776,Telangana - Khanapur 
88,JOGU RAMANNA,Telangana Rashtra Samithi,74050,Telangana - Adilabad
89,PAYAL SHANKER,Bharatiya Janata Party,47444,Telangana - Adilabad
90,GANDRATH SUJATHA,Indian National Congress,32200,Telangana - Adilabad
91,KOTHAPELLY NARAYANA,Rajyadhikara Party,4125,Telangana - Adilabad
92,EERLA SATYANARAYANA,Bahujan Samaj Party,1352,Telangana - Adilabad
93,KASTALA ARUN KUMAR,Independent,954,Telangana - Adilabad
94,ANNAM DEVENDAR,Independent,838,Telangana - Adilabad
95,DATTATRI ELCHALA,Nationalist Congress Party,659,Telangana - Adilabad
96,AVULA YATHEENDRA NATH YADAV,Shiv Sena,616,Telangana - Adilabad
97,DANDE SANDEEP,Ambedkarite Party of India,573,Telangana - Adilabad
98,THOGARI RAMULU,Independent,553,Telangana - Adilabad
99,Y. SANJAY REDDY,Aam Aadmi Party,490,Telangana - Adilabad
100,KAMLE BHAGAVAN,Nava Praja Rajyam Party,454,Telangana - Adilabad
101,PENDUR MANOHAR,Gondvana Gantantra Party,336,Telangana - Adilabad
102,None of the Above,None of the Above,1149,Telangana - Adilabad
103,BAPU RAO RATHOD,Telangana Rashtra Samithi,61125,Telangana - Boath 
104,BAPU RAO SOYAM,Indian National Congress,54639,Telangana - Boath 
105,ANIL JADHAV,Independent,28206,Telangana - Boath 
106,MADAVI RAJU,Bharatiya Janata Party,4840,Telangana - Boath 
107,GAJENDER AADE,Bahujan Samaj Party,2658,Telangana - Boath 
108,KUMRAM KOTESHWAR,Nationalist Congress Party,1915,Telangana - Boath 
109,RAM CHOWHAN,Independent,1104,Telangana - Boath 
110,None of the Above,None of the Above,2275,Telangana - Boath 
